Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SL,Slider,BR,61,45.19,17,13,7,41.18,3,17.65,30,11,36.67,18.03,4,6.56,24.59,30.77,69.39,20.59,0.308,0.412,0.385,0.7969999999999999,0.07700000000000001
FF,4-Seam Fastball,FB,52,38.52,8,6,2,25.0,2,25.0,22,7,31.82,13.46,13,25.0,38.46,19.05,18.37,22.22,0.333,0.5,0.5,1.0,0.16699999999999998
SI,Sinker,FB,19,14.07,4,4,1,25.0,0,0.0,12,2,16.67,10.53,2,10.53,21.05,50.0,12.24,16.67,0.5,0.5,1.25,1.75,0.75
CU,Curveball,BR,3,2.22,0,0,0,,0,,0,0,,0.0,1,33.33,33.33,0.0,0.0,,,,,,
